tr	ota
mızıkçılık etmek	ميزيقجيلق ايتمك
saçmak	صاچمق
hindici	هنديجي
vesile-cu	وسيله جو
tasavvuri	تصوري
oluşturmak	اولوشديرمق
olumsuzluk kelimesi	اولومسزلق كلمه سي
kapı halkı	قاپي خلقي
fenn-i tabakatül-arz	فن طبقات الارض
kepekçi	كپكجي
tefazul	تفاضل
behsus	بهصوص
mütebaki	متباقي
yığılca	ييغيلجه
teşavüs	تشاوس
afallaştırmak	آفاللاشديرمق
eli uzun	الي اوزون
insanül-ayn	انسان العين
yordamlı	يورداملي
tunç bilekli	تونچ بيلكلي
hırpalayış	خيرپالاييش
hur-i iyn	حور عين
ortak fark	اورتاق فرق
istihsad	استحصاد
husser	حسر
ip merdiven	ايپ مردیون
sahil boyu	ساحل بويي
safed	صفد
hakb	حقب
kalheban	قلهبان
ızaf	اضعاف
lahh	لخ
tepedelen	دپه دلن
kalak	قالاق
mesamir	مسامير
iras	ارعاس
ulusoy	اولو صوي
dakis	داكس
davita	ضويطه
ayrılma	آيريلمه 
sühan-senc	سخن سنج
stereoskopik çift	سته روسقوپيك چفت
infinitezimal	اينفينيته زيمال
teneddi	تندي
baronluk	بارونلق
gevretme	گورتمه
veliyyün-niam	ولي النعام
selis	سليس
kübizm	كوبيزم
küre-i ayn	كرۀ عين
püskürtülme	پوسكورتولمه
ondan	اوندن
haydamak	هايدامق
teftis	تفتيث
yaşatkan sinir sistemi	ياشاتقان سيڭير سيستمي
hemr	همر
aranje	آرانژه
habin	حبين
müzemmem	مذمم
havaic	حوائج
nasayih	نصايح
nabz-aşna	نبض آشنا
teyyas	تياس
al	عال
pekleştirme	پكلشديرمه
şişirme	شيشيرمه
temerrut	تمرط
nev-nihal	نونهال
binişmek	بينيشمك
tek tük	تك توك
uygulanabilir	اويغولانابيلير
dahdaha	دخدخه
bertih	برطيح
çorapçı	چوراپجي
ülkücülük	أولكوجيلك
müstevli	مستولي
sülfatlaşma	سولفاتلاشمه 
gelme	گلمه
atim	عاتم
kanh	قنح
bengi	بنگي
sağucu	صاغوجي
site	سيته
bess	بس
münderic	مندرج
ratib	راتب
arife	عارفه
beğenmek	بگنمك
ledid	لديد
oburca	اوبورجه
zube	ظبه
münafık	منافق
bayati-araban	باياتي عربان
sevhak	سوحق
şahhanım	شاه خانم
amürziş	آمرزش
yapıştırıcı	ياپيشديريجي
menasıb	مناصب
tevekkül-i imani	توكل ايماني
cülünbak	جلنباق
nefs	نفث
tekhil	تكحيل
meyla	ميلع
zillet	ذلت
çera	چرا
ırgalamaz	ايرغالاماز
terslemek	ترسله مك
taygun	طايغون
iltisak	التثاق
ahnas	اخناث
kardinal	قاردينال
esfeliyet	اسفليت
koşumlu	قوشوملي
fatımiye	فاطميه
budaklanmak	بوداقلانمق
pali	پالي
münfedi	منفدي
şezlong	شزلونغ
iltimas-name	التماسنامه
istek yutumu	ايستك يوتومي
muhit	محيط
tazelemek	تازه له مك
tabil	تابل
aleykümselam	عليكم سلام
müterakib	متراكب
ısfirar-ı şems	اصفرار شمس
zenk	زنك
şezre	شذره
mivan	معوان
milyar	ميليار
atlıhan	آتلي خان
modellik	مودللك
müdavimin	مداومين
müşrik	مشرك
rad-endaz	رعد انداز
demagog	دماغوغ
tenekkür	تنكر
diz bağı	ديز باغي
kalıplatmak	قالبلاتمق
sehv	سحو
şarkiyat	شرقيات
badel-mütalaa	بعد المطالعه
baht	بحت
müşahele	مشاهله
dall bil-işare	دال بالاشاره
şetaret	شطارت
üsrüb	اسرب
denizşakayığı	دڭز شقايغي
münhani	منحني
katavaşya	قتاواشيه
örgütçülük	أورگوتجيلك
çemiç	چميچ
yasak meyve	ياساق ميوه
erbab	ارباب
menekşegiller	منكشه گيللر
birleşmek	برلشمك
gabi	غبي
dış güçler	طيش گوچلر
zayıf	ضعيف
çarksız	چرخسز
poliüretan	پولي أوره تان
uruguay	اوروغوآي 
hıfze	حفظه
sızıldanmak	صيزيلدانمق
düğü	ديگي
muhaddisin-i muhaddisun	محدثين محدثون
tatlı su kayası	طاتلي صو قياسي
sıhhat	صحت
yetkin	يتكين
mızz	مض
cübüll	جبل
iştirakiyyun	اشتراكيون
banka	بانقه
zekai	ذكائي
olgunlaştırma	اولغونلاشديرمه 
enduhte	اندوخته
dokumahane	طوقومه خانه
kırpıntı	قيرپينتي
betr	بتر
gurzuf	عرضوف
istihdam	استخدام
bellik	بلليك
gerdaniye-trak	گردانيه طراق
ezim ezim	ازيم ازيم
sinematek	سينامه تك
fakıd	فاقد
şıngırdatmak	شينغيرداتمق
tutucu	طوتوجي
rostoluk	روصتولق
azami	اعظمي
huneyn vakası	حنين وقعه سي
ferah-efza	فرح افزا
pupa yelken	پوپه يلكن
harp etmek	حرب ايتمك
sahibüz-zaman	صاحب الزمان
gazellemek	غزللههه مك
nutye	نوطيه
öğrenilmek	أوگرنيلمك
firudest	فرودست
karılmak	قاريلمق
baraj ateşi	باراژ آتشي
mahale	محاله
muvahhide	موحده
koordinasyon	قوئورديناسيون
enflasyon	انفلاسيون
inanış	اينانيش
havfen	خوفًا
turtur	طرطور
minsaf	منصف
mülızz	ملظ
önderlik	أوڭدرلك
ifcac	افجاج
üzüntüsüz	أوزنتوسز
sürücülük	سوروجيلك
lahan	لخن
yalpalatma	يالپه لاتمه 
muğalaza	مغالظه
hurafe	خرافه
terahhumen	ترحمًا
ünlü genişlemesi	أوڭلي گڭيشله مه سي
gam-alud	غم آلود
teşfi	تشفيع
kök	كوك
müteremrim	مترمرم
usam	عثام
sebati	ثباتي
sızıntılı	صيزينتيلي
beceriksiz	بجريكسز
hıyfet	خيفت
hatim indirmek	ختم اينديرمك
perma	پرمه
erişilmek	ايريشيلمك
muhtediane	مختدعانه
bismihi	باسمه
modelcilik	مودلجيلك
toktamış	طوقتاميش
müşrif	مشرف
mevlel-muvalat	مولي الموالات
talimar	تاليمار
naş	نعش
usbey	اوص بگ
munaytara	منيطره
dürzü	درزي
kuzican	قوزيجان
mehbel	مهبل
korkuluk	قورقولق
sadda	صدا
şur	شور
saten	ساتن
beçe-gan	بچه گان
dünürleşme	دوڭورلشمه
mülemmaat	ملمعات
angın	آڭغين
tekinsiz	تكينسز
gayr-i safi milli hasıla	غير صافي ملي حاصله
samanlı gübre	صمانلي گوبره
mütekellimane	متكلمانه
şaht	شحط
farika	فارقه
çözüm	چوزوم
tekaüden	تقاعدًا
karşılayış	قارشيلاييش
rusgül-kadem	رسغ القدم
aksab	اقصاب
mubikat-ı seba	موبقات سبعه
fırçalamak	فيرچه لامق
ökçe	أوكچه
azı dişi	آزي ديشي
heyca	هيجا
tabakhane	طباقخانه
itas	اتعاس
sırma	صيرمه
avanaklık etmek	آواناقلق ايتمك
yaraştırmak	ياراشديرمق
yazı takımı	يازي طاقيمي
hebc	هبج
insifa	انصفا
ödenek	أوده نك
fasika	فاسقه
aşak	عشق
alaka	علقه
tuhafiyecilik	تحفيه جيلك
neib	نعيب
burçhan	بورچخان
ateş gecesi	آتش گيجه سي
mürah	مراح
ak yem	آق يم
divan kalemi	ديوان قلمي
müjdelik	مژده لك
muhil	محيل
sulh olmak	صلح اولمق
şekildaşlık	شكلداشلق
fecayi	فجايع
seyreltme	سگرلتمه
ömerli	عمرلي
kulub	قلوب
ahzar	اخضر
özel sektör	أوزل سكتور
çarpıcı	چارپيجي
ham besi suyu	خام بسي صويي
isnad-ı efike	اسناد افيكه
söz sahibi olmak	سوز صاحبي اولمق
tefsa	تفسا
örtük	أورتوك
cetvel	جدول
halenc	خلنج
telvin	تلوين
firdevsiye	فردوسيه
sinir otugiller	سيڭير اوتيگيللر
cevir	جور
greyfurt	غريفورت
neme lazım	نه مه لازم
büka	بكا
bileşik	بيله شيك
planetaryum	پلانه تاريوم
erkenden	اركندن
sevecen	سوه جن
inik deniz	اينيك دڭز
nufe	نوفه
saygın	صايغين
bopakça	بوپاقچه
mürt olmak	مرد اولمق
gök cismi	گوك جسمي
tebrid	تبريد
ehassül-havas	اخص الخواص
gıriv	غريو
kihalet	كحالت
sevdirme	سوديرمه
ecras	اجراس
çaycı	چايجي
hılf	حلف
gedilmek	گديلمك
döktürme	دوكديرمه
vaktaki	وقتاكه
ipekli	ايپكلي
plaj	پلاژ
plaçka	پلاچقه
tefrişat	تفريشات
ahlak yasası	اخلاق ياساسي
bi-vefa	بي وفا
gölük	گولوك
nerdban	نردبان
fundamentalist	فوندامنتاليست
sünun	سنون
nigah	نگاه
komplo	قومپلو
guşe-i dehan	گوشۀ دهان
tetebbuat	تتبعات
pak	پاك
gübre böceği	گوبره بوجگي
hacı	حاجي
astırmak	آصديرمق
lifam	لفام
cirab	جراب
kep	كپ
isyan	عصيان
gerdaniye-ırak	گردانيه عراق
ifraz	افراض
mütenebbih	متنبه
delalet etmek	دلالت ايتمك
zehna	زهنع
kavgalaşmak	غوغالاشمق
müteseyyid	متسيد
katarat-ı baran	قطرات باران
avasım	عواصم
ahmal	احمال
çapalanmak	چاپه لانمق
çaycuma	چاي جمعه
gülseren	گل سرن
zübab	ذباب
kadirilik	قادريلك
yıldıralp	ييلدير آلپ
çello	چللو
pelüş	پلوش
mizber	مزبر
tezek	تزك
balatekin	بالاتكين
zorunluluk	زورونليلق
naziz	نضيض
beniz	بڭيز
bala-himmet	بالاهمت
zihi	ذه
millenmek	ميللنمك
harş	حرش
makatil	مقاتل
tahattüm	تختم
fa	فا
asr	اصر
kulak davulu	قولاق طاوولي
hezmele	هذمله
fusul	فصعل
ünün	انن
teyelli	تگللي
muğazıb	مغاضب
lillahi teala	للّٰه تعالي
biteviyelik	بيته ويه لك
sertifikasız	سرتيفيقه سز
ağaç sakızı	آغاچ ساقيزي
ıyaf	عياف
sorumsuzca	صورومسزجه
permun	پرمون
zaman	ضمان
limoni	ليموني
telfik	تلفيق
dahm	دحم
tecnis-i mürekkeb	تجنيس مركب
yeni yetmelik	يڭي يتمه لك
telgrafçılık	تلغرافجيلق
sahire	ساهره
münbic	منبج
husaf	حساف
eğitimsiz	اگيتيمسز
lisanullah	لسان اللّٰه
şeriyy	شري
klan	قلان
safar	صفار
uygulayım bilimi	اويغولاييم بيليمي
emay	اماي
müsned	مسند
sırık fasulyesi	صيريق فاصوليه سي
köreliş	كورليش
çarpışma	چارپيشمه 
medafin	مدافن
serf	سرف
can alıcı	جان آليجي
ibdaiye	ابدائيه
pozitif görüntü	پوزيتيف گورونتو
karabacak	قره باجاق
tadarut	تضارط
küreyvat-ı hamra	كريوات حمرا
otolit	اوطوليت
kaba-yı ahenin	قباي آهنين
patlak	پاتلاق
reyean	ريعان
brülör	برولور
aritmetik dizi	آريتمه تيك ديزي
ammeten	عامةً
camiül-huruf	جامع الحروف
eden	ادن
bahar nezlesi	بهار نزله سي
kayırış	قاييريش
nehec	نهج
kıkırdayış	قيقيرداييش
inlemek	ايڭله مك
rezervasyon	رزرواسيون
ramih	رامح
karbondioksit	قاربون ديئوقسيت
mişkat	مشكات
konuksever	قونوق سور
hebiha	هبيخه
fırınlatma	فرونلاتمه 
şahis	شخيص
üstün zekalılık	أوستون ذكاليلق
usret	عصرت
kıvanma	قيوانمه 
kasınma	قاصينمه 
kürtaj	كورتاژ
ambalaj	آمبالاژ
mefruşat	مفروشات
micrefe	مجرفه
kolorimetre	قولوري متره
fena-gah	فناگاه
emr-i kün	امر كن
efvah	افواه
mevahib-i sübhaniye	مواهب سبحانيه
abe	آبه
kürur	كرور
besalet	بسالت
afk	عفك
tehdid-kar	تهديدكار
cedced	جدجد
cahilce	جاهلجه
nankörce	نانكورجه
onursal	اونورسال
dikici	ديكيجي
semen-bu	سمنبو
nakz	نقض
sena-ver	ثناور
mahrem	مخرم
oynamak	اوينامق
gerilla	گريلله
eleman	اله مان
cüzame	جذامه
musakka	مسقا 
erensoy	ارن صوي
semen	سمن
hoşlanmak	خوشلانمق
destelenmek	دسته لنمك
guk	غوك
istisa	استيساع
ilha	الها
sarayköy	سراي كوي
eşinme	اشينمه
araç	آراچ
alaçam	آلاچام
ferhaş	فرخاش
asfar	اصفار
cahan	جحن
yassılanma	ياصسيلانمه 
murad-ı ilahi	مراد الهي
bir o kadar	بر او قدر
dayak düşkünü	طاياق دوشكوني
kibritiyet	كبريتيت
afallatma	آفاللاتمه 
sevi	سوي
dağlatmak	داغلاتمق
edille-i kaviye	ادلۀ قويه
aziz	عزيز
esefle	اسفله
bezaga	بزاغه
makine	ماكينه
nebiz	نبيذ
ahsenül-halıkin	احسن الخالقين
yan atışı	يان آتيشي
mürtecil	مرتجل
güvercingiller	گوگرجينگيللر
paçan	پاچان
nasır	ناصر
savtekin	صاو تكين
gardenya	غاردنيه
tafta	تافته
rodaj	روداژ
haristan	خارستان
belletmen	بللتمن
acizan	عاجزان
mağaris	مغارس
komalık	قومه لق
na-mizaci	نامزاجي
mütedeffin	متدفن
hamurlanmak	خمورلانمق
ayakçı	آياقجي
cezm	جزم
evlad	اولاد
kekre	ككره
aktinyum	آقتينيوم
uğuray	اوغور آي
nisviyet	نسويت
leyle-i regaib	ليلۀ رغائب
oldukça	اولدقجه
pamuk ipliği	پاموق ايپلگي
sakinlik	ساكنلك
esb-i tazi	اسب تاذي
odaklamak	اوداقلامق
özdemir	أوز دمير
dilman	ديلمان
nadan	نادان
bab-ı hümayun	باب همايون
ser-zakir	سرذاكر
şanssızlık	شانسسزلق
halkan	خلقًا
mahdut	محدود
oktuna	اوق طونه
bizişk	بزشك
velayet-i zatiye	ولايت ذاتيه
kargınalp	قارغين آلپ
anasır	عناصر
çalacak	چالاجق
sure-i kuraniye	سورۀ قرآنيه
rütte	رته
tandoruk	طاڭ طوروق
mensuhat	منسوخات
dayis	دايص
tersleşmek	ترسلشمك
nakhodga	ناقخودغه
haylulet	خيلولت
mesarr	مسار
çünbek	چنبك
mütearri	متعري
tehvilat	تهويلات
reste-gar	رستگار
inayet eylemek	عنايت ايله مك
tedafüi	تدافعي
germe	گرمه
adem-i inkar	عدم انكار
muhacimin	مهاجمين
sezindirmek	سزينديرمك
tiroksin	تيروقسين
daha	داحه
gasıp	غاصب
cife	جيفه
şaur	شاعور
iğbab	اغباب
taksitli satış	تقسيطلي صاتيش
tecahüd	تجاحد
şebaat	شباعت
lop	لوپ
tetabuk	تطابق
asib-i rüzgar	آسيب روزگار
soku	صوقو
mennaul-hayr	مناع الخير
terazi	تراضي
girişkenlik	گيريشكنلك
sam	سام
dud-hane	دودخانه
dokunmabana	طوقونما بڭا
bevatir	بواتر
mıkma	مقمع
yolculuk etmek	يولجيلق ايتمك
müctemi	مجتمع
müfide	مفيده
saprofit	ساپروفيت
yalın kelime	يالين كلمه
ketb	كتب
bonfilelik	بونفيله لك
maskaralanmak	مسخره لانمق
iltikaullah	التقاء اللّٰه
kafender	قفندر
tın	طين
tahadd	تحاد
gabb	غب
salça	صالچه
klas	قلاس
zevklenmek	ذوقلنمك
tedmin	تدمين
geçim kapısı	گچيم قاپيسي
çıkagelmek	چيقا گلمك
zafer	ظفر
şiddet	شدت
hece vezni	هجا وزني
kaka	كعكع
cerz	جرز
nazra-künan	نظره كنان
ruz-be-ruz	روزبروز
karşıcı	قارشيجي
yürüyen	يوروين
ateşbaz	آتشباز
garsan	غرثان
başkaynak	باش قايناق
sıkılmak	صيقيلمق
güngörmüş	گون گورمش
niteliksiz	نيته لكسز
mukallit	مقلد
kısıtlanma	قيصيتلانمه 
kazer	قذر
gerisingeri	گريسين گري
uzatmak	اوزاتمق
kalavra	قالاوره
ehyeb	اهيب
kamari	قماري
inanmazlık	اينانمازلق
muhammer	مخمر
nız	ڭز
tabançe	طبانچه
kazb	قضب
keçileşmek	كچيلشمك
ritmsiz	ريتمسز
gramer	غرامر
iktitaf-ı esmar	اقتطاف اثمار
makastar	مقاصدار
bakılmak	باقيلمق
akbabagiller	آق باباگيللر
higroskop	هيگروسقوپ
küluh	كلوح
bekas	بقاس
adaklanmak	آداقلانمق
ıtlak olunmak	اطلاق اولونمق
bad-ı semum	باد سموم
hançerlenme	خنچرلنمه
oruç	اوروچ
gaiyet	غائيت
türe	توره
taşkıner	طاشقين أر
sılal	صلال
kazasız	قضاسز
müferriğ	مفرغ
babaç	باباچ
kırlent	قيرلنت
